Bottom Hole Temp
jDepth   Temp
66	51.3
88	52.7
97	55.3
128	60.7
158	68.7
188	66
200     69.6
218	72.7
250	87.4
251	87.4
281	90.1
350	92.2
371	93
402	79.4
433     80.7
450	81.5
464     83.4
494     88.7
500     89.2
524     90.1
550     92.5
555     92.8
585     94.1
617     94.1
625	94.1
631	63.4
657	64.7
689	70.0
700	82.0
721	94.0
750	116
782	116
800     117
814	118
849     112
850     112
889	108
910	112
942	112
950	111
974	110
1000	111.6
1006	112
1038	116
1070	122
1100    123.6
1102	124
1134	126
1150    128
1165	130
1196	132
1200	133
1228	134
1249	132.5
1250	132.5
1260	132	
1292	135
1324	132
1356	133
1388	128
1420	124
1450	126
1452	126
1483	94
1500	97.2
1515	102
1549	108
1579	112
1611	118
1643	124
1675	128
1700    128
1706	130
1738	136
1750	136
1770	136
1897    134
1929    138
1950	138
1961    138
1993    124
2000    124
2024    126
2050    122
2056    122
2088	116
2120    116
2184    112
2200	114
2215    116
2247    120
2250	121
2279    126
2300	127
2317	128
2350    126
2441	114
2450    120
2469	122
2500	128
2501	128
2530	134
2564	138
2596	140
2600	140.5
2628	144
2650	147
2660	148
2692	152
2700	152
2724	152
2750	153.5
2756	154
2788	156
2820	152
2852	152
2884	150
2900	151
2915	152
2947	152
2950	152
2970	152
2973	116
3000	119
3011	120
3043	126
3075	130
3107	136
3139    138
3171    138
3200	144
3203    144
3235    136
3250    137
3266    138
3282    138
3298    138
3320    140
3362    124
3393    128
3426    134
3450    138
3490    140
3500    141
3522    142
3550	144	
3553    144
3585    146
3617    146
3649    146
3681    148
3700    148
3750    149
3774    150
3776    150
3800	149
3808    148
3840    138
3850	138
3872    138
3904    142
3936    148
3950    148
4000    152
4032    152
4063    152
4095	156
4100	157
4127	160
4150	161.5
4159	162
4191	162
4199    162
