Minerals data file for Heber HGU-17
DEPTH	Qtz	Cal	Pyr	Prh	Hm	Chl	Ser	Epi	Clay
  
60 c c c c c c c c c
70 - - - - - - - - -
80 - - - - - - - - - 
90 - - - - - - - - - 
100 - c - r - t - - - 
110 - c - r - t - - - 
120 - c - t - t - - -
130 - c - t - t - - - 
140 - c - t - t - - - 
150 - c - t - t - - - 
160 - c - t - t - - - 
170 - c - t - t - - - 
180 - c - m - t - - - 
190 - c - t - t - - - 
200 - c - t - t - - - 
210 - a - - - - - - - 
220 - a - - - - - - - 
230 - c - - - - - - -
240 - a - - - - - - -
250 - a - - - - - - -
260 - c - - - - - - -
270 - c - - - - - - -
280 - c - - - - - - -
290 - c - - - - - - -
300 - c - - - - - - -
310 - c - - - - - - -
320 - c - - - - - - -
330 - c - - - - - - -
340 - c - - - - - - -
350 - c - - - - - - -
360 - c - - - - - - -
370 - c - - - - - - -
380 - c - - - - - - -
390 - c - - - - - - -
400 - c - - - - - - -
410 - c - - - - - - -
420 - c - - - - - - -
430 - c - - - - - - -
440 - c - - - - - - - 
450 - c - - - - - - -
460 - c - - - - - - - 
470 - c - - - - - - - 
480 - c - - - - - - - 
490 - c - - - - - - - 
500 - c - - - - - - - 
510 - c - - - - - - -
520 - c - - - - - - - 
530 - c - - - - - - -
540 - c - - - - - - - 
550 - - - - - - - - - 
560 - t - - - t - - - 
570 - m - - - r - - - 
580 - m - - - t - - -
590 - c r - - r - - - 
600 - c - - - - - - - 
610 - a - - - - - - -
620 - a - - - - - - -
630 - a - - - - - - -
640 - a - - - - - - -
650 - a - - - - - - -
660 - a - - - - - - -
670 - a - - - - - - -
680 - c - - - - - - -
690 - c - - - - - - -
700 - c - - - - - - -
710 - c - - - - - - -
720 - c - - - - - - -
730 - m - - - - - - -
740 - m - - - - - - -
750 - m - - - - - - -
760 - m - - - - - - -
770 - m - - - - - - -
780 - m - - - - - - -
790 - m - - - - - - -
800 - m - - - - - - -
810 - - - - - m - - -
820 - - - - - t - - - 
830 - - - - - t - - - 
840 - - - - - t - - - 
850 - - - - - r - - - 
860 - c - - - - - - - 
870 - c - - - - - - - 
880 - c - - - - - - -
890 - c - - - - - - - 
900 - t t - - r - - - 
910 - - - - - r - - - 
920 - - - - - t - - -
930 - - - - - r - - -
940 - - - - - r - - -
950 - - - - - r - - -
960 - - - - - r - - -
970 - - - - - r - - -
980 - - - - - r - - -
990 - - - - - - - - -
1000 - - - - - - - - -
1010 - c - - - - - - -
1020 - c - - - - - - -
1030 - a - - - - - - -
1040 - a - - - - - - -
1050 - - - - - - - - -
1060 - c - - - - - - -
1070 - c - - - - - - -
1080 - c - - - - - - -
1090 - c - - - - - - -
1100 - c - - - - - - -
1110 - c - - - - - - - 
1120 - c - - - - - - -
1130 - c - - - - - - - 
1140 - a - - - - - - - 
1150 - a - - - - - - - 
1160 - a - - - - - - - 
1170 - a - - - - - - - 
1180 - a - - - - - - - 
1190 - a - - - - - - - 
1200 - a - - - - - - - 
1210 - a - - - - - - - 
1220 - a - - - - - - - 
1230 - - - - - t - - -
1240 - - t - - t - - - 
1250 - m - - - - - - -
1260 m t - - - - - - -
1270 m t - - - - - - -
1280 c t - - - - - - -
1290 c t - - - - - - -
1300 r m - - - - - - -
1310 r m - - - - - - -
1320 - m - - - r - - -
1330 - m - - - t - - -
1340 - m - - - t - - -
1350 - m - - - t - - -
1360 - m - - - - - - -
1370 - m - - - - - - -
1380 - m - - - - - - -
1390 - c - - - r - - -
1400 - c - - - r - - -
1410 - m - - - r - - -
1420 - m - - - r - - -
1430 - m - - - r - - -
1440 - m - - - r - - -
1450 - m - - - r - - -
