
depth	Q	c	P	E	Y	L	X	a	t	"(Qtz,calcite,Pyrite,Epidote,pYrrhotite,chLorite,aXinite,actinolite,tourmaline)"
1	-	-	-	-	-	-	-	-	-	
6610	c	c	c	c	c	c	c	c	c
6620	-	-	-	-	-	-	-	-	-
6630	-	-	-	-	-	-	-	-	-
6640	-	-	-	-	-	-	-	-	-
6650	-	-	-	-	-	-	-	-	-
6660	-	-	-	-	-	-	-	-	-
6670	-	-	-	-	-	-	-	-	-
6680	-	-	-	-	-	-	-	-	-
6690	-	-	-	-	-	-	-	-	-
6700	-	-	-	-	-	-	-	-	-
6710	-	-	-	-	-	-	-	-	-
6720	-	-	-	-	-	-	-	-	-
6730	-	-	-	-	-	-	-	-	-
6740	-	-	-	-	-	-	-	-	-
6750	-	-	-	-	-	-	-	-	-
6760	-	-	-	-	-	-	-	-	-
6770	-	-	-	-	-	-	-	-	-
6780	-	-	-	-	-	-	-	-	-
6790	-	-	-	-	-	-	-	-	-
6800	r	m	r	-	-	-	-	-	-
6810	r	c	r	-	-	-	-	-	-
6820	r	c	r	-	-	-	-	-	-
6830	r	m	r	-	-	-	-	-	-
6840	r	c	r	-	-	-	-	-	-
6850	r	c	r	-	-	-	-	-	-
6860	t	m	r	-	-	-	-	-	-
6870	t	m	r	-	-	-	-	-	-
6880	t	m	r	-	-	-	-	-	-
6890	t	m	r	-	-	-	-	-	-
6900	t	c	r	-	-	-	-	-	-
6910	r	c	r	-	-	-	-	-	-
6920	r	c	r	-	-	-	-	-	-
6930	r	m	r	-	-	-	-	-	-
6940	r	m	r	-	-	-	-	-	-
6950	t	m	r	-	-	-	-	-	-
6960	t	t	r	-	-	-	-	-	-
6970	t	t	r	-	-	-	-	-	-
6980	t	t	r	-	-	-	-	-	-
6990	t	t	r	-	-	-	-	-	-
7000	t	t	r	-	-	-	-	-	-
7010	t	t	r	-	-	-	-	-	-
7020	t	t	r	-	-	-	-	-	-
7030	t	t	r	-	-	-	-	-	-
7040	t	m	r	-	-	-	-	-	-
7050	t	m	r	-	-	-	-	-	-
7060	t	m	r	-	-	-	-	-	-
7070	t	m	r	-	-	-	-	-	-
7080	t	t	r	-	-	-	-	-	-
7090	t	t	r	-	-	-	-	-	-
7100	t	t	r	-	-	r	-	-	-
7110	t	m	r	-	-	r	-	-	-
7120	t	m	r	-	-	r	-	-	-
7130	t	m	r	-	-	-	-	-	-
7140	t	m	r	-	-	-	-	-	-
7150	t	m	r	-	-	-	-	-	-
7160	t	m	r	-	-	-	-	-	-
7170	t	m	r	-	-	-	-	-	-
7180	t	m	r	-	-	-	-	-	-
7190	t	t	r	-	-	-	-	-	-
7200	t	t	r	-	-	-	-	-	-
7210	t	t	r	-	-	-	-	-	-
7220	t	t	r	-	-	-	-	-	-
7230	t	t	r	-	-	-	-	-	-
7240	t	t	r	-	-	-	-	-	-
7250	t	t	r	-	-	-	-	-	-
7260	t	t	r	-	-	-	-	-	-
7270	t	t	r	-	-	-	-	-	-
7280	t	t	r	-	-	-	-	-	-
7290	t	t	r	-	-	t	-	-	-
7300	t	t	r	-	-	m	-	-	-
7310	t	t	r	-	-	r	-	-	-
7320	t	t	r	-	-	r	-	-	-
7330	t	m	r	-	-	r	-	-	-
7340	t	t	r	-	-	r	-	-	-
7350	t	t	r	-	-	r	-	-	-
7360	t	t	r	-	-	r	-	-	-
7370	t	m	r	-	-	r	-	-	-
7380	t	m	r	-	-	r	-	-	-
7390	t	m	r	-	-	r	-	-	-
7400	t	m	r	-	-	r	-	-	-
7410	t	m	r	-	-	r	-	-	-
7450	t	m	r	-	-	r	-	-	-
7460	t	m	r	-	-	r	-	-	-
7470	t	m	r	-	-	r	-	-	-
7480	t	t	r	-	-	r	-	-	-
7490	t	t	r	-	-	r	-	-	-
7500	t	t	r	-	-	r	-	-	-
7510	t	t	r	r	-	r	-	-	-
7520	t	m	r	r	-	r	-	-	-
7530	t	m	r	r	-	r	-	-	-
7540	t	t	r	r	-	r	-	-	-
7550	t	t	r	r	-	r	-	-	-
7560	t	r	r	r	-	r	-	-	-
7570	t	r	r	r	-	r	-	-	-
7580	t	r	r	r	-	r	-	-	-
7590	t	r	r	r	-	r	-	-	-
7600	t	r	r	r	-	r	-	-	-
7610	t	r	r	r	-	r	-	-	-
7620	t	r	r	r	-	t	-	-	-
7630	t	r	r	r	-	t	-	-	-
7640	t	r	r	r	-	t	-	-	-
7650	t	r	r	r	-	t	-	-	-
7660	t	-	r	r	-	t	-	-	-
7670	t	-	r	r	-	t	-	-	-
7680	t	-	r	r	-	t	-	-	-
7690	t	r	r	r	-	t	-	-	-
7700	t	r	r	r	-	t	-	-	-
7710	t	r	r	r	-	r	-	-	-
7720	t	r	r	r	-	r	-	-	-
7730	t	r	r	r	-	r	-	-	-
7740	t	r	r	r	-	t	-	-	-
7750	t	r	r	r	-	t	-	-	-
7760	t	r	t	r	-	r	-	-
7770	t	-	t	r	-	r	-	-	-
7780	t	-	t	r	-	t	-	-	-
7790	t	-	r	r	-	t	-	-	-
7800	t	-	r	r	-	t	-	-	-
7810	t	r	r	r	-	t	-	-	-
7820	t	r	r	r	-	r	-	-	-
7830	t	r	r	r	-	-	-	-	-
7840	t	r	r	r	-	-	-	-	-
7850	t	r	r	r	-	-	-	-	-
7860	t	-	r	r	-	r	-	-	-
7870	t	-	r	r	-	r	-	-	-
7880	t	-	r	r	-	r	-	-	-
7890	t	-	r	r	-	r	-	-	-
7900	t	-	r	r	-	r	-	-	-
7910	t	-	r	r	-	r	-	-	-
7920	t	-	r	r	-	r	-	-	-
7930	t	-	r	r	-	r	-	-	-	
